0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,DFA,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,PFD,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Sam_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,Specral_entrophy,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD
Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma
TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10,TP_9,AF_7,AF_8,TP_10
1.63E+00,2.91E-01,1.75E+00,1.59E+00,1.84E+00,0.00E+00,1.46E+00,1.75E+00,0,1.77E+00,1.66E+00,1.48E+00,1.52E+00,7.93E-01,0,1.62E+00,1.38E+00,1.83E+00,1.81E+00,1.64E+00,-3.67E-04,0,5.81E-04,-3.67E-04,1.63E-03,0.00E+00,-3.67E-04,-3.67E-04,0,-2.89E-04,-2.77E-04,-1.63E-04,-3.67E-04,0,0,-3.67E-04,-3.67E-04,-3.67E-04,-2.99E-04,-3.67E-04,1.00E+00,1.00E+00,1.00E+00,8.39E-01,1.00E+00,0.00E+00,8.23E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.60E-01,8.15E-01,1.00E+00,1.00E+00,8.78E-01,9.37E-01,1.00E+00,1.00E+00,9.63E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.26E-01,4.87E-01,5.76E-01,6.31E-01,6.31E-01,0.00E+00,6.22E-01,5.97E-01,0,5.66E-01,5.88E-01,6.13E-01,6.23E-01,0,0,6.35E-01,6.09E-01,6.07E-01,5.99E-01,6.24E-01,4.16E-01,3.19E-13,2.71E-01,4.14E-01,5.72E-01,0.00E+00,3.68E-01,2.37E-01,0,1.77E-01,3.39E-01,3.27E-01,2.54E-01,7.45E-13,0,1.79E-01,2.17E-01,2.40E-01,2.31E-01,5.44E-01
1.57E+00,1.79E+00,1.82E+00,1.38E+00,1.61E+00,0.00E+00,8.00E-01,1.58E+00,0,1.86E+00,1.81E+00,1.50E+00,1.88E+00,1.47E+00,1.63E+00,1.81E+00,1.64E+00,0,1.83E+00,1.67E+00,-3.67E-04,-3.67E-04,1.77E-04,-3.67E-04,2.77E-03,0.00E+00,0,-3.67E-04,0,-3.58E-04,-3.67E-04,-3.30E-04,-3.67E-04,-3.67E-04,-3.67E-04,-3.67E-04,-3.67E-04,0,-7.31E-05,-3.67E-04,1.00E+00,1.00E+00,1.00E+00,9.37E-01,1.00E+00,0.00E+00,1.00E+00,9.63E-01,1.00E+00,1.00E+00,1.00E+00,8.52E-01,8.78E-01,9.37E-01,9.18E-01,8.78E-01,1.00E+00,1.00E+00,1.00E+00,9.63E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.89E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.06E-01,6.19E-01,6.08E-01,6.26E-01,6.18E-01,0.00E+00,5.97E-01,6.21E-01,0,5.66E-01,5.27E-01,6.23E-01,6.18E-01,6.13E-01,6.29E-01,6.30E-01,5.96E-01,0,6.15E-01,6.27E-01,3.72E-01,1.17E-01,5.24E-01,4.41E-01,4.14E-01,0.00E+00,2.50E-13,1.20E-01,0,3.75E-01,1.77E-01,3.60E-01,2.17E-01,4.99E-01,2.74E-01,1.96E-01,3.77E-01,0,2.18E-01,3.84E-01
1.53E+00,1.40E+00,1.68E+00,1.56E+00,1.81E+00,0.00E+00,9.96E-01,1.78E+00,0,1.54E+00,1.72E+00,1.78E+00,1.80E+00,1.61E+00,1.68E+00,1.78E+00,1.37E+00,1.39E+00,1.73E+00,2.62E-01,-3.67E-04,-3.67E-04,4.18E-05,-3.67E-04,6.10E-04,0.00E+00,-3.67E-04,7.66E-03,0,-3.67E-04,-3.37E-04,1.37E-03,-3.67E-04,4.33E-03,-3.67E-04,-3.67E-04,-3.67E-04,-3.67E-04,5.09E-04,1.00E+00,1.00E+00,8.89E-01,1.00E+00,9.02E-01,1.00E+00,0.00E+00,8.78E-01,9.63E-01,1.00E+00,1.00E+00,1.00E+00,9.63E-01,1.00E+00,9.37E-01,8.89E-01,1.00E+00,9.37E-01,8.28E-01,1.00E+00,8.60E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.15E-01,6.27E-01,6.15E-01,6.19E-01,6.10E-01,0.00E+00,6.30E-01,6.25E-01,0,6.28E-01,5.85E-01,6.23E-01,5.89E-01,6.13E-01,6.19E-01,6.07E-01,6.08E-01,6.29E-01,6.34E-01,6.50E-01,4.54E-01,1.92E-01,3.03E-01,4.95E-01,2.29E-01,0.00E+00,2.35E-01,1.47E-01,0,5.53E-01,1.31E-01,4.44E-01,1.79E-01,3.05E-01,3.90E-01,3.08E-01,3.92E-01,4.59E-01,1.73E-01,2.37E-13
1.77E+00,1.39E+00,1.74E+00,1.66E+00,1.77E+00,0.00E+00,1.57E+00,1.80E+00,0,1.56E+00,1.78E+00,1.76E+00,1.53E+00,1.28E+00,2.12E-02,5.50E-01,1.54E+00,1.36E+00,1.92E+00,1.55E+00,-3.67E-04,-3.67E-04,3.65E-04,-3.67E-04,-6.53E-05,0.00E+00,9.59E-04,-1.98E-04,0,-3.67E-04,2.56E-05,-3.67E-04,-3.67E-04,9.28E-03,0,1.00E+00,-3.67E-04,-3.67E-04,1.50E-04,-3.67E-04,8.89E-01,8.78E-01,1.00E+00,9.63E-01,1.00E+00,0.00E+00,9.37E-01,1.00E+00,1.00E+00,9.63E-01,1.00E+00,8.60E-01,8.19E-01,1.00E+00,1.00E+00,8.45E-01,9.63E-01,1.00E+00,1.00E+00,9.63E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.29E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.12E-01,6.30E-01,5.99E-01,6.30E-01,5.91E-01,0.00E+00,5.76E-01,5.90E-01,0,6.16E-01,5.19E-01,6.34E-01,6.31E-01,6.26E-01,0,6.09E-01,5.91E-01,6.17E-01,6.15E-01,5.86E-01,4.73E-01,2.10E-01,4.04E-01,5.67E-01,2.45E-01,0.00E+00,2.07E-01,1.80E-01,0,4.38E-01,1.23E-01,1.52E-01,2.43E-01,1.39E-01,2.26E-13,3.69E-13,1.82E-01,2.32E-01,1.69E-01,2.87E-01
1.74E+00,3.22E-01,1.63E+00,1.74E+00,1.83E+00,0.00E+00,1.50E+00,1.60E+00,0,1.84E+00,1.88E+00,1.19E+00,1.43E+00,6.05E-01,0,1.79E+00,1.83E+00,1.76E+00,1.87E+00,1.53E+00,-3.67E-04,1.00E+00,3.15E-04,-3.67E-04,-1.16E-04,0.00E+00,-3.67E-04,-3.67E-04,0,-3.67E-04,4.26E-03,-3.16E-04,-3.67E-04,0,0,-3.67E-04,-3.67E-04,-3.67E-04,-1.47E-04,-3.67E-04,9.37E-01,8.19E-01,1.00E+00,9.37E-01,1.00E+00,0.00E+00,9.63E-01,9.63E-01,1.00E+00,1.00E+00,1.00E+00,8.60E-01,1.00E+00,1.00E+00,1.00E+00,8.78E-01,1.00E+00,8.68E-01,1.00E+00,9.18E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.23E-01,6.19E-01,5.68E-01,6.28E-01,6.31E-01,0.00E+00,5.98E-01,6.07E-01,0,5.39E-01,4.77E-01,6.18E-01,6.31E-01,5.56E-01,0,6.16E-01,5.99E-01,5.76E-01,5.87E-01,6.18E-01,3.68E-01,4.08E-13,3.56E-01,4.48E-01,5.27E-01,0.00E+00,3.32E-01,1.72E-01,0,4.28E-01,1.09E-01,3.31E-01,1.79E-01,2.93E-13,0,1.86E-01,1.36E-01,2.59E-01,3.10E-01,3.52E-01
1.56E+00,1.82E+00,1.54E+00,1.39E+00,1.69E+00,0.00E+00,1.26E+00,1.51E+00,0,1.85E+00,1.70E+00,1.45E+00,1.69E+00,1.71E+00,1.66E+00,1.53E+00,1.79E+00,0,1.79E+00,1.63E+00,-3.67E-04,-3.67E-04,9.80E-04,-3.67E-04,1.26E-03,0.00E+00,-3.67E-04,-3.67E-04,0,-3.67E-04,1.25E-03,-1.75E-04,-3.67E-04,1.40E-03,-3.67E-04,7.24E-03,-3.67E-04,0,-3.13E-04,-3.67E-04,1.00E+00,1.00E+00,1.00E+00,9.63E-01,1.00E+00,0.00E+00,9.18E-01,9.63E-01,1.00E+00,1.00E+00,1.00E+00,8.78E-01,8.60E-01,9.37E-01,9.18E-01,9.63E-01,1.00E+00,1.00E+00,1.00E+00,9.37E-01,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.18E-01,6.19E-01,5.73E-01,6.35E-01,5.96E-01,0.00E+00,6.28E-01,6.39E-01,0,5.83E-01,6.13E-01,6.17E-01,5.88E-01,5.61E-01,6.21E-01,6.02E-01,4.54E-01,0,6.20E-01,6.31E-01,4.34E-01,1.37E-01,2.65E-01,2.40E-01,3.97E-01,0.00E+00,3.05E-01,2.13E-01,0,4.65E-01,1.69E-01,3.12E-01,2.81E-01,1.68E-01,1.94E-01,5.35E-01,3.65E-01,0,4.90E-01,3.14E-01
1.59E+00,1.22E+00,1.87E+00,1.60E+00,1.79E+00,0.00E+00,1.55E+00,1.80E+00,0,1.78E+00,1.84E+00,1.67E+00,1.69E+00,1.66E+00,1.75E+00,1.80E+00,1.82E+00,1.66E+00,1.78E+00,1.77E-01,-3.67E-04,-3.67E-04,-2.69E-04,-3.67E-04,4.92E-04,0.00E+00,-3.67E-04,2.40E-04,0,-3.67E-04,2.45E-03,2.47E-03,-3.67E-04,1.15E-04,-3.67E-04,6.73E-03,-3.67E-04,-3.67E-04,-3.67E-04,0,8.89E-01,8.68E-01,1.00E+00,9.63E-01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.63E-01,1.00E+00,9.63E-01,9.02E-01,1.00E+00,9.63E-01,8.33E-01,1.00E+00,1.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,0.00E+00,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,3.03E-04,6.08E-01,6.26E-01,6.03E-01,6.14E-01,5.85E-01,0.00E+00,6.25E-01,6.09E-01,0,6.25E-01,5.99E-01,6.19E-01,6.17E-01,6.16E-01,6.05E-01,6.23E-01,6.21E-01,6.06E-01,5.69E-01,0,4.46E-01,2.61E-01,1.36E-01,5.87E-01,3.34E-01,0.00E+00,5.06E-01,1.72E-01,0,4.78E-01,3.79E-01,3.95E-01,1.99E-01,2.58E-01,2.19E-01,3.93E-01,4.32E-01,2.15E-01,3.35E-01,3.02E-13
